NOME_INSTANCIA|MAKESPAN|QTD_ITERACOES|INTER_MELHOR_GLOBAL|QTD_ALTER_MELHOR_GLOBAL|MELHORA_2APT|MELHORA_2SWAP|TEMPO_EXEC
instance241_m=2_n=15_l=15_c=5_s=0_0|231|1000|76|8|1|1|69.6829
instance241_m=2_n=15_l=15_c=5_s=0_1|230|1000|894|8|1|1|68.8666
instance241_m=2_n=15_l=15_c=5_s=0_2|230|1000|169|7|1|1|67.8628
instance241_m=2_n=15_l=15_c=5_s=0_3|231|1000|67|8|1|1|67.4654
instance241_m=2_n=15_l=15_c=5_s=0_4|231|1000|490|10|1|1|68.2721
instance241_m=2_n=15_l=15_c=5_s=0_5|230|1000|17|9|1|1|69.0842
instance241_m=2_n=15_l=15_c=5_s=0_6|230|1000|226|8|1|1|69.1063
instance241_m=2_n=15_l=15_c=5_s=0_7|230|1000|207|8|1|1|68.0312
instance241_m=2_n=15_l=15_c=5_s=0_8|232|1000|970|5|1|1|68.5127
instance241_m=2_n=15_l=15_c=5_s=0_9|231|1000|320|7|1|1|68.2634
instance245_m=2_n=15_l=15_c=5_s=1_0|697|1000|863|14|1|1|68.1191
instance245_m=2_n=15_l=15_c=5_s=1_1|725|1000|112|9|1|1|67.6227
instance245_m=2_n=15_l=15_c=5_s=1_2|718|1000|133|7|1|1|67.9575
instance245_m=2_n=15_l=15_c=5_s=1_3|698|1000|634|16|1|1|68.3503
instance245_m=2_n=15_l=15_c=5_s=1_4|725|1000|347|6|1|1|67.5646
instance245_m=2_n=15_l=15_c=5_s=1_5|756|1000|818|12|1|1|68.3262
instance245_m=2_n=15_l=15_c=5_s=1_6|697|1000|946|11|1|1|67.5995
instance245_m=2_n=15_l=15_c=5_s=1_7|767|1000|16|5|1|1|67.5795
instance245_m=2_n=15_l=15_c=5_s=1_8|741|1000|233|11|1|1|68.6019
instance245_m=2_n=15_l=15_c=5_s=1_9|705|1000|367|8|1|1|68.1475
instance278_m=2_n=15_l=15_c=10_s=1_0|323|1000|14|5|1|1|62.6074
instance278_m=2_n=15_l=15_c=10_s=1_1|323|1000|2|3|1|1|62.047
instance278_m=2_n=15_l=15_c=10_s=1_2|323|1000|97|5|1|1|62.8735
instance278_m=2_n=15_l=15_c=10_s=1_3|323|1000|6|4|1|1|63.0016
instance278_m=2_n=15_l=15_c=10_s=1_4|323|1000|320|6|1|1|62.8363
instance278_m=2_n=15_l=15_c=10_s=1_5|323|1000|13|7|1|1|62.8006
instance278_m=2_n=15_l=15_c=10_s=1_6|323|1000|4|4|1|1|63.14
instance278_m=2_n=15_l=15_c=10_s=1_7|323|1000|2|2|1|1|63.014
